,state,incident_id,n_killed,Firearms,n_injured,Population,incidence_per_100k,firearms_per_100k,deaths_per_100k,injured_per_100k,inj_killed_per_100k
0,Alabama,1309,488,161641,761,4863300,26.91588016367487,3323.6896757345835,10.034338823432648,15.64781115703329,25.682149980465937
1,Alaska,445,88,15824,103,741894,59.98161462419159,2132.9192580072086,11.861532779615416,13.883384957958953,25.74491773757437
2,Arizona,554,277,179738,294,6931071,7.992992713535902,2593.2211630785487,3.996496356767951,4.241768696352988,8.238265053120939
3,Arkansas,720,190,79841,351,2988248,24.094385740407088,2671.83312763867,6.358240681496315,11.746013048448456,18.10425372994477
4,California,3617,1265,344622,1896,39250017,9.215282632871217,878.01745410709,3.2229285403876387,4.830571156185742,8.05349969657338
5,Colorado,812,207,92435,299,5540545,14.65559796012847,1668.3376815818658,3.736094553875115,5.396581022264056,9.132675576139171
6,Connecticut,803,68,82400,358,3576452,22.452419325074125,2303.959342946585,1.9013256713636868,10.009920446297057,11.911246117660744
7,Delaware,328,42,4852,187,952065,34.45142926165755,509.62906944378796,4.411463503017126,19.641516072957202,24.05297957597433
8,District of Columbia,497,106,47228,339,681170,72.96269653684102,6933.364651995831,15.56146042838058,49.76731212472657,65.32877255310716
9,Florida,4201,1001,343288,1846,20612439,20.380897185432545,1665.4409504862574,4.85629090278933,8.955757249299802,13.812048152089135
10,Georgia,1708,548,19050,857,10310371,16.565844235866972,184.76541726772004,5.315036675207905,8.312019034038638,13.627055709246545
11,Hawaii,79,34,7859,17,1428557,5.530055853564121,550.1355563691193,2.3800240382427864,1.1900120191213932,3.570036057364179
12,Idaho,155,34,49566,44,1683140,9.208978456931687,2944.853072234039,2.0200339841011443,2.614161626483834,4.634195610584978
13,Illinois,5055,946,146487,4137,12801539,39.48743975236103,1144.2921042540274,7.38973649965055,32.31642695460288,39.70616345425343
14,Indiana,1511,420,114019,765,6633053,22.779857178888815,1718.9520421440927,6.331925886918136,11.53315072260089,17.865076609519026
15,Iowa,659,70,28494,194,3134693,21.022792343620253,908.9885357194469,2.2330735418109526,6.188803815876068,8.42187735768702
16,Kansas,572,125,52634,250,2907289,19.67468662386161,1810.415132448133,4.299538160808919,8.599076321617838,12.898614482426755
17,Kentucky,1021,288,81068,499,4436974,23.011178339111297,1827.1010828551168,6.490910246487809,11.246403517352142,17.73731376383995
18,Louisiana,2070,527,116831,1103,4681666,44.21502943610245,2495.5005333571426,11.25667657624444,23.55998911498599,34.81666569123043
19,Maine,232,18,15371,37,1331479,17.424232751699424,1154.430524251603,1.3518801272870244,2.7788647060899945,4.130744833377019
20,Maryland,1293,429,103109,748,6016447,21.49108934226463,1713.7855614783944,7.130454236528636,12.432586873947365,19.563041110476
21,Massachusetts,1544,112,37152,468,6811779,22.66661910199964,545.4081819154732,1.6442107120621499,6.870451903973985,8.514662616036134
22,Michigan,1316,385,65742,700,9928300,13.255038626955269,662.1677427152686,3.8778038536305313,7.05055246114642,10.92835631477695
23,Minnesota,468,108,79307,217,5519952,8.478334594213862,1436.7335078276044,1.9565387525108913,3.9311936045820683,5.88773235709296
24,Mississippi,852,290,35494,497,2988726,28.507129793764967,1187.5963203050399,9.703131033089015,16.6291590463629,26.332290079451912
25,Missouri,1552,515,72996,842,6093000,25.47185294600361,1198.030526834072,8.452322337108157,13.81913671426227,22.271459051370424
26,Montana,162,42,22133,22,1042520,15.539270229827725,2123.02881479492,4.028699689214595,2.110271265779074,6.138970954993669
27,Nebraska,381,57,22234,162,1907116,19.977809425331234,1165.844133235734,2.9888061344983736,8.49450164541643,11.483307779914803
28,Nevada,536,205,76888,286,2940058,18.23093285914768,2615.186503123408,6.972651559935212,9.727699249470588,16.7003508094058
29,New Hampshire,272,20,64135,40,1334795,20.377660989140654,4804.857674774029,1.4983574256721068,2.9967148513442137,4.4950722770163205
30,New Jersey,1224,297,57507,654,8944469,13.684434481241983,642.9336386542342,3.3204877785366578,7.311781168898903,10.632268947435561
31,New Mexico,399,122,97580,133,2081015,19.17333608839917,4689.0579837242885,5.862523816503004,6.39111202946639,12.253635845969395
32,New York,2522,416,76207,1275,19745289,12.772666938427692,385.95028920569354,2.106831659946836,6.457236457769749,8.564068117716586
33,North Carolina,2101,576,152238,1205,10146788,20.706059888114346,1500.356566038435,5.676673248716737,11.875679278999423,17.55235252771616
34,North Dakota,150,18,13272,33,757952,19.7901714092713,1751.0343662923244,2.374820569112556,4.353837710039686,6.728658279152242
35,Ohio,2442,628,173405,1455,11614373,21.025672242487822,1493.0207597086817,5.407093435005058,12.527581127280826,17.934674562285885
36,Oklahoma,898,243,71269,414,3923561,22.887371956240774,1816.4366502776434,6.193353435820164,10.551639186952873,16.744992622773037
37,Oregon,552,95,61383,168,4093465,13.484908262315667,1499.536456278483,2.320772255289834,4.104102514617812,6.424874769907645
38,Pennsylvania,2185,556,236377,1220,12784227,17.09137361218633,1848.973739280443,4.349109257837803,9.54300952259374,13.892118780431542
39,Rhode Island,237,14,4223,84,1056426,22.43413168551323,399.74404264946145,1.3252229687644945,7.951337812586968,9.276560781351462
40,South Carolina,1490,387,105601,726,4961119,30.033546867148317,2128.5722031662613,7.80065948831302,14.633795319160859,22.43445480747388
41,South Dakota,144,23,21130,32,865454,16.638665948739042,2441.493135394833,2.6575647001458194,3.6974813219420097,6.355046022087829
42,Tennessee,2014,470,99159,1163,6651194,30.28027749604056,1490.8451023981559,7.066400408708572,17.48558228793206,24.551982696640636
43,Texas,3606,1313,588696,1614,27862596,12.942081922301856,2112.854092992627,4.712410860782677,5.7927122081517455,10.505123068934424
44,Utah,250,70,72856,86,3051217,8.19345198981259,2387.768552679144,2.294166557147525,2.818547484495531,5.112714041643056
45,Vermont,94,13,5872,10,624594,15.049776334707026,940.130708908507,2.0813520462892696,1.6010400356071304,3.6823920818963995
46,Virginia,1578,398,307822,1051,8411808,18.75934400785182,3659.4035432097353,4.731444179420167,12.494341287865819,17.225785467285988
47,Washington,768,183,91835,301,7288000,10.537870472008782,1260.0850713501648,2.5109769484083424,4.130076838638858,6.641053787047201
